Record ID,Title,Subject,Institution,Journal,Publisher,Country,Author,URLS,ArticleType,RetractionDate,RetractionDOI,RetractionPubMedID,OriginalPaperDate,OriginalPaperDOI,OriginalPaperPubMedID,RetractionNature,Reason,Paywalled,Notes
64758,The use of surrounding rock loosening circle theory combined with elastic-plastic mechanics calculation method and depth learning in roadway support,(B/T) Computer Science;(B/T) Transportation;(PHY) Engineering - General;(PHY) Geology;,"School of coal engineering, Shanxi Datong University, Datong, Shanxi, China;",PLoS One,PLoS,China,Qingyun Xu;Yongming Li;Jie Lu;Lei Zhang,,Research Article;,2024-03-20,10.1371/journal.pone.0301148,38507400.0,2020-07-15,10.1371/journal.pone.0234071,32667926.0,Retraction,Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Peer Review;Duplication of/in Article;Euphemisms for Duplication;Compromised Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,No,
64757,The use of machine translation algorithm based on residual and LSTM neural network in translation teaching,(B/T) Computer Science;(B/T) Data Science;(SOC) Education;(SOC) Linguistics;,"College of Translation Studies, Xi’an Fanyi University, Xi’an, China;",PLoS One,PLoS,China,Beibei Ren,,Research Article;,2025-04-09,10.1371/journal.pone.0321329,40202935.0,2020-11-19,10.1371/journal.pone.0240663,33211704.0,Retraction,Concerns/Issues about Peer Review;Compromised Peer Review;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,No,
64530,Screening and functional prediction of differentially expressed genes in walnut endocarp during hardening period based on deep neural network under agricultural internet of things,(B/T) Computer Science;(BLS) Agriculture;(BLS) Plant Biology/Botany;(ENV) Environmental Sciences;,"College of Life Science, Tarim University, Alar, Xinjiang, China; Key Laboratory of Biological Resource Protection and Utilization of Tarim Basin Xinjiang Production and Construction Group, Alar, Xinjiang, China; The National and Local Joint Engineering Laboratory of High Efficiency and Superior-Quality Cultivation and Fruit Deep Processing Technology of Characteristic Fruit Trees in South Xinjiang, Alar, Xinjiang, China; College of Horticulture and Forestry Sciences, Tarim University, Alar, Xinjiang, China; Research Institute of Horticultural Crops, Xinjiang Academy of Agricultural Sciences, Urumqi, China;",PLoS One,PLoS,China,Zhongzhong Guo;Shangqi Yu;Jiazhi Fu;Kai Ma;Rui Zhang,,Research Article;,2024-09-23,10.1371/journal.pone.0311126,39312566.0,2022-02-24,10.1371/journal.pone.0263755,35202404.0,Retraction,Author Unresponsive;Concerns/Issues about Article;Concerns/Issues about Peer Review;Duplication of/in Article;Euphemisms for Duplication;Compromised Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,No,
64499,Implementation of organization and end-user computing-anti-money laundering monitoring and analysis system security control,(B/T) Business - Accounting;(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;,"School of Economics and Management, Nanjing Institute of Industry Technology, Nanjing, Jiangsu, China;",PLoS One,PLoS,China,Ling Sun,,Research Article;,2025-03-18,10.1371/journal.pone.0320467,40100790.0,2021-12-09,10.1371/journal.pone.0258627,34882687.0,Retraction,Author Unresponsive;Concerns/Issues about Article;Concerns/Issues about Peer Review;Compromised Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,No,
64493,Influence of the combination of big data technology on the Spark platform with deep learning on elevator safety monitoring efficiency,(B/T) Computer Science;(B/T) Data Science;(B/T) Technology;,"Institute of Information Science and Technology, Fudan University, Shanghai, China;",PLoS One,PLoS,China,Jie Yu;Bo Hu,,Research Article;,2024-11-14,10.1371/journal.pone.0313640,39541288.0,2020-06-17,10.1371/journal.pone.0234824,32555687.0,Retraction,Author Unresponsive;Concerns/Issues about Article;Concerns/Issues about Peer Review;Duplication of/in Article;Euphemisms for Duplication;Compromised Peer Review;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,No,
64367,Applying Internet information technology combined with deep learning to tourism collaborative recommendation system,(B/T) Computer Science;(B/T) Technology;,"School of Economics and Trade, Henan University of Engineering, Henan, Zhengzhou, China;",PLoS One,PLoS,China,Meng Wang,,Research Article;,2025-04-09,10.1371/journal.pone.0321330,40202931.0,2020-12-03,10.1371/journal.pone.0240656,33271589.0,Retraction,Author Unresponsive;Concerns/Issues about Article;Concerns/Issues about Peer Review;Compromised Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,No,
64337,Application of deep neural network and deep reinforcement learning in wireless communication,(B/T) Computer Science;(B/T) Technology;,"National Intellectual Property Administration, Beijing City, China;",PLoS One,PLoS,China,Ming Li;Hui Li,,Research Article;,2024-11-07,10.1371/journal.pone.0313643,39509391.0,2020-07-02,10.1371/journal.pone.0235447,32614858.0,Retraction,Author Unresponsive;Concerns/Issues about Peer Review;Duplication of/in Article;Euphemisms for Duplication;Compromised Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,No,
64335,Analysis of the role and robustness of artificial intelligence in commodity image recognition under deep learning neural network,(B/T) Business - General;(B/T) Computer Science;(B/T) Technology;,"School of Communications and Information Engineering, Xi’an University of Posts and Telecommunications, Xi’an, China;",PLoS One,PLoS,China,Rui Chen;Meiling Wang;Yi Lai,,Research Article;,2024-09-26,10.1371/journal.pone.0311323,39325725.0,2020-07-07,10.1371/journal.pone.0235783,32634167.0,Retraction,Author Unresponsive;Concerns/Issues about Article;Concerns/Issues about Results and/or Conclusions;Concerns/Issues about Peer Review;Duplication of/in Article;Euphemisms for Duplication;Compromised Peer Review;Investigation by Journal/Publisher;Objections by Author(s);Unreliable Results and/or Conclusions;,No,
64334,Analysis of the pattern recognition algorithm of broadband satellite modulation signal under deformable convolutional neural networks,(B/T) Computer Science;(B/T) Technology;,"National Intellectual Property Administration, Beijing, China;",PLoS One,PLoS,China,Hui Li;Ming Li,,Research Article;,2025-03-05,10.1371/journal.pone.0319596,40043021.0,2020-07-13,10.1371/journal.pone.0234068,32658924.0,Retraction,Author Unresponsive;Concerns/Issues about Peer Review;Compromised Peer Review;Investigation by Journal/Publisher;Unreliable Results and/or Conclusions;,No,
63730,Multi-script handwritten digit recognition using multi-task learning,(B/T) Computer Science;(B/T) Technology;,"Arba Minch University, Faculty of Computing and Software Engineering, Arba Minch, Ethiopia; Information Systems and Machine Learning Lab, Hildesheim, Germany; AMUIT, MOEFDRE under UNDP and MSRDC-MAISM, RTU India; Information Systems and Machine Learning Lab, Hildesheim, Germany;",Journal of Intelligent & Fuzzy Systems,IOS Press (bought by Sage November 2023),Ethiopia;Germany;India,Mesay Samuel Gondere;Lars Schmidt Thieme;Durga Prasad Sharma;Randolf Scholz,https://retractionwatch.com/2024/08/23/exclusive-publisher-retracts-more-than-450-papers-from-journal-it-acquired-last-year/,Research Article;,2024-08-23,10.3233/JIFS-219433,0.0,2022-03-07,10.3233/jifs-212233,0.0,Retraction,Compromised Peer Review;Investigation by Journal/Publisher;Investigation by Third Party;,No,
